TV,Radio,Newspaper,Sales
115.5,32.1,2.7,16.9
285.5,4.2,58.2,17.1
220.9,8.1,17.6,16.2
181.6,44.9,43.8,25.7
51.0,30.3,9.6,11.6
51.0,0.5,56.5,4.0
22.1,5.1,12.3,7.8
260.5,33.2,0.3,29.0
182.3,0.3,58.9,10.7
213.9,8.0,2.4,16.2
11.1,27.4,9.6,8.7
291.1,34.6,74.9,31.8
250.6,32.6,75.2,29.0
67.6,11.2,21.3,10.0
58.6,35.6,25.0,13.5
59.1,11.9,14.9,7.8
94.8,16.3,8.7,11.4
159.8,37.3,10.0,19.4
132.4,32.5,27.9,16.9
90.9,42.5,34.9,20.5
185.5,32.9,39.2,25.5
46.2,28.4,39.0,11.3
91.2,4.7,2.4,9.3
113.1,18.4,17.1,14.0
139.5,13.3,1.5,17.9
236.6,12.2,19.9,20.4
63.9,48.7,14.6,17.6
156.7,19.7,54.7,15.5
179.8,44.6,10.8,24.5
18.7,31.6,3.1,10.5
184.2,39.7,3.9,24.4
55.3,25.1,35.8,9.6
24.2,28.8,24.1,9.2
284.9,24.6,2.7,25.5
289.9,9.8,2.2,23.1
243.5,36.1,30.2,30.1
94.9,14.0,1.9,11.1
33.8,1.2,43.1,7.0
206.8,32.3,30.6,24.7
134.8,8.9,2.1,10.7
41.0,47.0,2.2,17.5
151.1,47.7,107.9,26.3
15.1,45.7,11.7,11.4
273.2,18.5,11.6,23.3
81.3,0.8,41.9,5.8
200.4,46.4,73.6,27.5
97.0,21.4,106.7,14.9
158.4,48.3,35.0,28.9
166.3,48.2,11.8,24.9
59.5,42.7,2.2,16.7
291.0,14.7,37.5,22.2
233.7,19.3,20.4,20.8
282.2,42.6,13.8,32.0
269.0,15.8,59.2,21.1
181.4,8.5,2.9,14.4
277.0,27.8,17.0,26.7
31.1,46.8,0.3,14.8
62.8,34.8,15.8,14.3
18.3,28.5,1.4,9.3
101.0,4.9,3.2,7.7
119.7,30.8,3.1,16.7
85.0,49.5,26.2,21.0
249.5,7.0,34.3,18.1
110.2,25.9,21.9,14.1
87.9,43.9,81.9,19.0
165.1,37.0,11.7,24.0
46.6,34.9,8.4,10.8
241.6,35.1,50.7,29.2
27.0,18.0,6.3,7.1
296.1,14.7,82.6,24.3
232.8,40.5,0.3,28.6
63.6,40.5,87.6,13.5
6.6,43.4,1.1,9.3
245.6,45.7,55.4,32.0
213.5,25.6,18.8,22.9
220.1,25.1,114.0,21.8
232.5,39.9,1.9,30.3
26.8,32.5,20.2,8.8
110.7,35.1,87.1,18.3
39.2,39.8,18.5,11.9
259.6,44.5,24.8,32.0
188.9,16.9,29.7,17.8
102.6,18.8,15.2,11.8
23.7,4.7,24.7,4.6
96.7,28.9,21.9,16.8
100.9,1.8,57.9,7.5
220.2,23.3,1.2,23.2
193.1,27.1,8.2,20.0
266.7,14.3,75.1,22.3
144.3,29.5,55.2,21.1
40.3,1.5,15.2,1.8
215.4,1.9,24.2,12.6
229.4,41.1,8.1,30.5
170.6,18.0,5.2,16.7
232.4,6.4,15.6,16.8
150.7,26.1,10.9,17.5
159.2,38.5,21.9,23.1
131.1,10.8,2.0,12.1
12.5,31.1,91.6,11.6
36.8,4.3,107.1,6.3
14.3,2.6,29.9,4.7
192.7,26.6,19.2,20.9
97.7,27.0,9.3,14.2
155.0,31.9,42.0,20.0
272.7,36.3,28.9,31.8
78.5,48.8,4.4,18.5
126.1,25.8,60.5,17.1
227.9,16.1,43.2,22.8
72.5,39.8,74.8,17.7
27.7,13.5,32.3,6.7
90.5,21.9,23.8,14.8
52.6,3.9,13.5,5.8
279.3,1.3,67.5,13.8
243.4,48.1,50.3,32.0
191.9,41.8,1.2,24.2
262.1,34.8,0.7,29.2
242.1,20.4,11.8,22.4
60.0,8.7,41.6,10.3
268.3,7.8,109.1,19.5
164.1,12.5,4.1,14.4
243.2,27.5,22.5,26.5
269.3,35.7,12.0,27.6
98.8,33.0,87.6,17.2
37.5,14.0,46.1,9.0
72.2,47.7,45.6,16.3
131.0,36.9,15.8,21.9
246.3,27.7,13.4,26.1
258.9,30.6,8.0,27.1
7.1,21.0,1.5,8.2
155.7,12.4,50.0,17.5
128.1,17.8,41.9,14.6
70.5,37.9,114.0,16.3
40.4,0.7,114.0,4.7
104.6,5.8,20.3,8.3
283.2,2.3,36.6,18.3
100.3,2.0,72.4,7.2
158.0,42.8,47.4,24.5
212.4,35.2,7.1,25.4
112.3,23.7,15.0,15.7
291.7,4.9,3.5,19.1
288.9,24.6,77.0,28.9
79.3,23.7,23.3,12.1
151.7,8.7,6.5,12.4
93.8,21.7,27.8,11.9
89.0,19.9,24.1,11.8
15.9,30.8,11.1,10.4
184.8,31.8,3.0,23.7
153.3,2.3,27.8,9.6
20.2,18.7,18.4,9.0
87.2,31.3,37.0,17.3
272.9,25.2,18.4,27.0
75.7,42.8,47.8,20.1
47.7,32.9,20.1,11.7
149.4,8.1,20.6,10.8
295.8,3.5,52.3,15.9
76.4,32.1,12.9,16.8
203.3,1.3,3.6,13.8
229.7,29.3,0.7,25.0
75.1,47.0,35.2,18.8
219.8,28.8,24.2,22.6
113.5,19.4,30.4,17.3
191.5,32.2,6.0,23.5
191.9,22.9,3.7,20.2
163.1,27.3,0.4,20.6
31.6,47.1,10.8,15.2
251.4,19.3,22.3,22.9
99.6,48.1,12.4,19.7
60.0,45.3,14.4,17.3
17.0,9.8,58.6,8.6
179.3,3.5,10.7,14.4
204.9,5.0,18.0,16.6
9.9,0.9,38.3,3.0
156.1,4.7,12.6,10.4
71.8,34.2,24.3,14.7
195.3,3.6,49.6,13.5
56.4,15.9,74.7,11.1
208.8,42.2,4.0,26.0
119.1,1.2,65.3,11.2
281.3,40.7,16.9,32.0
45.6,14.1,7.5,7.7
105.6,5.9,15.4,8.1
38.5,34.8,97.8,10.4
277.8,31.4,17.0,30.6
263.8,43.9,10.0,32.0
81.1,36.8,25.1,14.5
199.7,40.2,6.9,25.1
246.1,14.1,2.0,19.6
168.8,8.9,3.4,16.1
